survival_time,survival_rate,total_gains,gain,efficiency,equality,over_usage,gains_by_agent,scenario,model,run,Type
9,0.0,134.0,26.8,22.33333333333334,22.985074626865675,4.444444444444445,"{'persona_0': 0.0, 'persona_1': 0.0, 'persona_2': 124.0, 'persona_3': 0.0, 'persona_4': 10.0}",fishing_v6.4_final,Qwen2.5-7B,usual-star-192,run
10,0.0,159.0,31.8,26.5,29.811320754716984,4.0,"{'persona_0': 0.0, 'persona_1': 130.0, 'persona_2': 19.0, 'persona_3': 0.0, 'persona_4': 10.0}",fishing_v6.4_final,Qwen2.5-7B,wise-planet-194,run
12,0.0,585.0,117.0,97.5,89.94871794871796,11.666666666666666,"{'persona_0': 152.0, 'persona_1': 128.0, 'persona_2': 110.0, 'persona_3': 90.0, 'persona_4': 105.0}",fishing_v6.4_final,Systemic_DeepSeek-R1-Distill-Llama-8B,curious-meadow-612,run
5,0.0,234.0,46.8,39.0,85.98290598290599,36.0,"{'persona_0': 34.0, 'persona_1': 40.0, 'persona_2': 46.0, 'persona_3': 72.0, 'persona_4': 42.0}",fishing_v6.4_final,Systemic_DeepSeek-R1-Distill-Llama-8B,easy-plant-613,run
3,0.0,195.0,39.0,32.49999999999999,87.8974358974359,46.666666666666664,"{'persona_0': 30.0, 'persona_1': 40.0, 'persona_2': 29.0, 'persona_3': 45.0, 'persona_4': 51.0}",fishing_v6.4_final,Systemic_DeepSeek-R1-Distill-Llama-8B,magic-fog-628,run
2,0.0,107.0,21.4,17.833333333333336,67.10280373831776,60.0,"{'persona_0': 52.0, 'persona_1': 11.0, 'persona_2': 18.0, 'persona_3': 14.0, 'persona_4': 12.0}",fishing_v6.4_final,Systemic_DeepSeek-R1-Distill-Llama-8B,northern-armadillo-627,run
3,0.0,180.0,36.0,30.000000000000004,88.44444444444444,46.666666666666664,"{'persona_0': 45.0, 'persona_1': 46.0, 'persona_2': 32.0, 'persona_3': 29.0, 'persona_4': 28.0}",fishing_v6.4_final,Systemic_DeepSeek-R1-Distill-Llama-8B,sunny-oath-611,run
2,0.0,121.0,24.2,20.166666666666664,90.41322314049587,90.0,"{'persona_0': 28.0, 'persona_1': 21.0, 'persona_2': 18.0, 'persona_3': 25.0, 'persona_4': 29.0}",fishing_v6.4_final,Systemic_Meta-Llama-3-8B,good-cherry-301,run
5,0.0,221.0,44.2,36.83333333333333,84.25339366515837,60.0,"{'persona_0': 46.0, 'persona_1': 36.0, 'persona_2': 35.0, 'persona_3': 71.0, 'persona_4': 33.0}",fishing_v6.4_final,Systemic_Meta-Llama-3-8B,hearty-monkey-305,run
2,0.0,118.0,23.6,19.666666666666664,86.4406779661017,90.0,"{'persona_0': 25.0, 'persona_1': 31.0, 'persona_2': 26.0, 'persona_3': 24.0, 'persona_4': 12.0}",fishing_v6.4_final,Systemic_Meta-Llama-3-8B,peach-wind-304,run
2,0.0,118.0,23.6,19.666666666666664,86.4406779661017,90.0,"{'persona_0': 24.0, 'persona_1': 28.0, 'persona_2': 30.0, 'persona_3': 24.0, 'persona_4': 12.0}",fishing_v6.4_final,Systemic_Meta-Llama-3-8B,snowy-water-300,run
2,0.0,118.0,23.6,19.666666666666664,83.05084745762711,80.0,"{'persona_0': 21.0, 'persona_1': 34.0, 'persona_2': 21.0, 'persona_3': 29.0, 'persona_4': 13.0}",fishing_v6.4_final,Systemic_Meta-Llama-3-8B,swift-feather-303,run
2,0.0,116.0,23.2,19.333333333333336,68.27586206896552,60.0,"{'persona_0': 30.0, 'persona_1': 14.0, 'persona_2': 8.0, 'persona_3': 46.0, 'persona_4': 18.0}",fishing_v6.4_final,Systemic_Mistral-7B-Instruct-v0.2,clear-serenity-558,run
1,0.0,100.0,20.0,16.666666666666664,68.39999999999999,60.0,"{'persona_0': 20.0, 'persona_1': 8.0, 'persona_2': 25.0, 'persona_3': 39.0, 'persona_4': 8.0}",fishing_v6.4_final,Systemic_Mistral-7B-Instruct-v0.2,hearty-lake-549,run
1,0.0,96.0,19.2,16.000000000000004,68.33333333333333,60.0,"{'persona_0': 20.0, 'persona_1': 8.0, 'persona_2': 8.0, 'persona_3': 40.0, 'persona_4': 20.0}",fishing_v6.4_final,Systemic_Mistral-7B-Instruct-v0.2,logical-wave-551,run
