model,scenario,survival_rate_mean,survival_time_mean,gain_mean,efficiency_mean,equality_mean,over_usage_mean,survival_rate_std,survival_time_std,gain_std,efficiency_std,equality_std,over_usage_std,survival_rate_ci,survival_time_ci,gain_ci,efficiency_ci,equality_ci,over_usage_ci
Univ_Mistral-7B-Instruct-v0.2,pollution_v6.4_final,0.0,1.0,20.0,16.667,54.72,48.0,0.0,0.0,0.0,0.0,8.146,10.954,0.0,0.0,0.0,0.0,7.14,9.602
Univ_Mistral-7B-Instruct-v0.2,sheep_v6.4_final,0.0,1.0,20.0,16.667,75.92,76.0,0.0,0.0,0.0,0.0,15.324,16.733,0.0,0.0,0.0,0.0,13.432,14.667
Univ_Phi-4,fishing_v6.4_final,100.0,12.0,119.8,99.833,99.866,0.0,0.0,0.0,0.447,0.373,0.301,0.0,0.0,0.0,0.392,0.327,0.264,0.0
Univ_Phi-4,pollution_v6.4_final,100.0,12.0,91.84,76.533,95.046,4.0,0.0,0.0,9.291,7.743,3.029,3.249,0.0,0.0,8.144,6.787,2.655,2.848
Univ_Phi-4,sheep_v6.4_final,100.0,12.0,120.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Univ_alt_DeepSeek-R1-Distill-Llama-8B,fishing_v6.4_final,20.0,5.4,49.68,41.4,77.419,21.067,44.721,3.912,20.025,16.688,11.69,18.789,39.2,3.429,17.553,14.627,10.247,16.469
Univ_alt_Meta-Llama-3-8B,fishing_v6.4_final,20.0,5.0,42.12,35.1,86.145,49.667,44.721,3.937,13.922,11.601,7.487,27.295,39.2,3.451,12.203,10.169,6.563,23.925
Univ_alt_Meta-Llama-3-8B,pollution_v6.4_final,0.0,1.0,20.0,16.667,85.2,96.0,0.0,0.0,0.0,0.0,14.784,8.944,0.0,0.0,0.0,0.0,12.959,7.84
Univ_alt_Meta-Llama-3-8B,sheep_v6.4_final,0.0,1.0,20.0,16.667,86.64,100.0,0.0,0.0,0.0,0.0,5.041,0.0,0.0,0.0,0.0,0.0,4.418,0.0
Univ_alt_Mistral-7B-Instruct-v0.2,fishing_v6.4_final,20.0,4.2,35.76,29.8,70.813,36.8,44.721,4.658,24.978,20.815,13.315,15.531,39.2,4.083,21.894,18.245,11.671,13.613
Univ_alt_Mistral-7B-Instruct-v0.2,pollution_v6.4_final,0.0,1.0,20.0,16.667,86.16,100.0,0.0,0.0,0.0,0.0,3.812,0.0,0.0,0.0,0.0,0.0,3.341,0.0
Univ_alt_Mistral-7B-Instruct-v0.2,sheep_v6.4_final,0.0,1.0,20.0,16.667,74.96,76.0,0.0,0.0,0.0,0.0,3.618,8.944,0.0,0.0,0.0,0.0,3.171,7.84
Univ_alt_Phi-4,fishing_v6.4_final,80.0,11.0,98.84,82.367,98.931,12.81,44.721,2.236,30.094,25.078,1.531,20.034,39.2,1.96,26.379,21.982,1.342,17.561
Univ_alt_Phi-4,pollution_v6.4_final,40.0,7.4,45.52,37.933,89.623,29.267,54.772,4.45,13.468,11.223,6.513,21.869,48.01,3.9,11.805,9.838,5.709,19.169
